date,time,venue,rest days,result,gf/gp,ga/gp,net goals,opponent,shots for,shots against,shot diff,pp opp/gp,ts/gp,pp%,pk%,fow%,team
2025-01-04,19:00,Away,1,W,4,2,2,Winnipeg Jets,29,23,6,3,2,66.7,100,58.7,Detroit Red Wings
2025-01-04,22:00,Home,1,W,3,1,2,Buffalo Sabres,33,24,9,2,3,0,66.7,42.6,Vegas Golden Knights
2025-01-04,20:00,Away,1,L,2,3,-1,Dallas Stars,35,29,6,1,0,0,--,55.6,Utah Hockey Club
2025-01-04,22:00,Home,1,L,2,4,-2,Edmonton Oilers,18,32,-14,2,1,0.0,100,41.4,Seattle Kraken
2025-01-04,19:00,Away,1,L,4,6,-2,Toronto Maple Leafs,31,29,2,2,2,0,100,45.5,Boston Bruins
2025-01-04,20:00,Away,1,L,2,3,-1,Dallas Stars,35,29,6,1,0,0,--,55.6,Utah Hockey Club
2025-01-04,20:00,Home,1,W,3,2,1,Utah Hockey Club,29,35,-6,0,1,--,100,44.4,Dallas Stars
2025-01-04,21:00,Home,2,W,2,1,1,Tampa Bay Lightning,21,34,-13,1,2,0,100,50.8,Los Angeles Kings
2025-01-04,22:00,Away,0,W,4,1,3,Calgary Flames,28,32,-4,2,3,100,100,47.1,Nashville Predators
2025-01-04,22:00,Away,0,W,4,2,2,Seattle Kraken,32,18,14,1,2,0,100,58.6,Edmonton Oilers
2025-01-04,19:00,Home,1,W,6,4,2,Boston Bruins,29,31,-2,2,2,0,100,54.6,Toronto Maple Leafs
2025-01-04,12:00,Home,1,W,7,4,3,New York Rangers,28,33,-5,4,4,50,100,48.5,Washington Capitals
2025-01-04,19:00,Home,1,L,1,1,0,Montreal Canadiens,23,23,0,5,3,20,100,45.8,Colorado Avalanche
2025-01-04,19:00,Away,1,W,4,0,4,Carolina Hurricanes,27,21,6,3,4,33.3,100,38.7,Minnesota Wild
2025-01-04,19:00,Away,0,L,4,6,-2,Columbus Blue Jackets,33,39,-6,2,2,50.0,50,55.4,St. Louis Blues
2025-01-04,16:00,Away,2,L,2,3,-1,San Jose Sharks,30,24,6,2,4,50,100,57.1,New Jersey Devils
2025-01-04,12:00,Away,1,L,4,7,-3,Washington Capitals,33,28,5,4,4,0,50,51.5,New York Rangers
2025-01-04,19:00,Home,1,L,0,4,-4,Minnesota Wild,21,27,-6,4,3,0,66.7,61.3,Carolina Hurricanes
2025-01-04,21:00,Away,1,L,1,2,-1,Los Angeles Kings,34,21,13,2,1,0,100,49.2,Tampa Bay Lightning
2025-01-05,15:00,Away,0,W,6,2,4,Chicago Blackhawks,34,27,7,0,1,--,100,57.1,New York Rangers
2025-01-05,19:00,Home,0,W,3,2,1,Philadelphia Flyers,25,32,-7,1,3,0,100,67.3,Toronto Maple Leafs
2025-01-05,18:00,Away,1,L,3,4,-1,Carolina Hurricanes,19,31,-12,3,3,0,100,43.9,Pittsburgh Penguins
2025-01-05,18:00,Home,0,L,4,5,-1,New York Islanders,30,37,-7,1,0,0,--,48.2,Boston Bruins
2025-01-05,20:00,Away,0,L,1,4,-3,Anaheim Ducks,37,26,11,2,1,50,100,49.2,Tampa Bay Lightning
2025-01-05,20:00,Home,1,W,4,1,3,Tampa Bay Lightning,26,37,-11,1,2,0,50,50.9,Anaheim Ducks
2025-01-05,19:00,Away,2,L,2,3,-1,Toronto Maple Leafs,32,25,7,3,1,0,100,32.7,Philadelphia Flyers
2025-01-05,18:00,Away,2,W,5,4,1,Boston Bruins,37,30,7,0,1,--,100,51.8,New York Islanders
2025-01-05,15:00,Home,1,L,2,6,-4,New York Rangers,27,34,-7,1,0,0,--,42.9,Chicago Blackhawks
2025-01-06,,Away,1,W,5,4,1,Vancouver Canucks,24,20,4,4,3,50,66.7,58.7,Montréal Canadiens
2025-01-06,21:00,Away,2,L,1,3,-2,Colorado Avalanche,27,34,-7,3,4,0,100,49.1,Florida Panthers
2025-01-06,19:00,Home,1,L,3,3,0,Washington Capitals,27,28,-1,3,2,33.3,50,45.9,Buffalo Sabres
2025-01-06,19:30,Away,2,L,4,5,-1,Montreal Canadiens,20,24,-4,3,4,33.3,50,41.3,Vancouver Canucks
2025-01-06,22:00,Home,1,L,2,3,-1,New Jersey Devils,24,29,-5,1,0,100.0,--,47.4,Seattle Kraken
2025-01-06,21:00,Home,1,W,3,1,2,Florida Panthers,34,27,7,4,3,0,100,50.9,Colorado Avalanche
2025-01-06,19:00,Away,1,L,3,3,0,Buffalo Sabres,28,27,1,2,3,50,66.7,54.1,Washington Capitals
2025-01-06,19:00,Home,1,L,3,3,0,Washington Capitals,27,28,-1,3,2,33.3,50,45.9,Buffalo Sabres
2025-01-06,22:00,Away,1,W,3,2,1,Seattle Kraken,29,24,5,0,1,--,0,52.6,New Jersey Devils
